timestamp,temperature,usage
1645277707,45.0,0.7
1645278007,44.0,0.5
1645278307,44.0,0.7
1645278608,44.0,0.7
1645278907,44.0,0.5
1645279207,45.0,0.3
1645279507,45.0,0.5
1645279808,45.0,0.7
1645280107,48.0,0.3
1645280407,44.0,0.7
1645280707,45.0,0.8
1645281008,45.0,0.5
1645281307,44.0,3.6
1645281607,45.0,0.8
1645281907,45.0,1
1645282208,44.0,0.3
1645282507,44.0,1
1645282807,50.0,0.3
1645283107,44.0,7.5
1645283407,44.0,1.2
1645283708,45.0,1.5
1645284007,44.0,0.5
1645284307,44.0,1
1645284607,45.0,0.5
1645284908,45.0,0.8
1645285207,44.0,0.5
1645285507,50.0,0.3
1645285807,45.0,20.8
1645286108,44.0,0.3
1645286407,44.0,0.3
1645286707,44.0,4.2
1645287007,44.0,2
1645287308,44.0,2
1645287607,44.0,0.5
1645287907,45.0,0.5
1645288207,46.0,0.7
1645288508,45.0,33.2
1645288807,45.0,2
1645289107,45.0,0.5
1645289407,44.0,0.5
1645289707,45.0,3.5
1645290008,45.0,0.3
1645290307,44.0,0.8
1645290607,45.0,0.8
1645290907,45.0,0.3
1645291208,44.0,38.9
1645291507,44.0,0.8
1645291807,44.0,0.8
1645292107,45.0,1.2
1645292408,44.0,1
1645292707,44.0,0.5
1645293007,45.0,0.5
1645293307,44.0,0.7
1645293608,46.0,0.2
1645293907,44.0,15.2
1645294207,44.0,0.5
1645294507,44.0,1.3
1645294807,44.0,0.3
1645295108,44.0,0.7
1645295407,45.0,0.7
1645295707,45.0,1
1645296007,44.0,0.5
1645296308,45.0,0.5
1645296607,44.0,28.3
1645296907,44.0,0.7
1645297207,44.0,1.5
1645297508,44.0,0.3
1645297807,44.0,1.8
1645298107,44.0,1
1645298407,44.0,0.8
1645298708,44.0,0.3
1645299007,45.0,1
1645299307,45.0,40.1
1645299607,45.0,0.8
1645299908,44.0,4.6
1645300207,44.0,0.3
1645300507,45.0,1
1645300807,44.0,0.8
1645301107,44.0,1.8
1645301408,45.0,0.3
1645301707,45.0,1.2
1645302007,44.0,21.4
1645302307,44.0,0.7
1645302608,44.0,0.8
1645302907,44.0,2
1645303207,45.0,1.8
1645303507,45.0,0.5
1645303808,44.0,1
1645304107,44.0,0.7
1645304407,45.0,1
1645304707,44.0,3.2
1645305008,44.0,0.5
1645305307,44.0,0.5
1645305607,44.0,0.3
1645305907,45.0,0.8
1645306207,44.0,1
1645306508,45.0,0.8
1645306807,44.0,0.5
1645307107,44.0,1
1645307407,44.0,0.5
1645307708,44.0,1.2
1645308007,44.0,1.8
1645308307,44.0,0.5
1645308607,44.0,0.3
1645308908,44.0,1.7
1645309207,44.0,0.2
1645309507,44.0,0.5
1645309807,45.0,0.8
1645310108,45.0,0.5
1645310407,44.0,0.5
1645310707,44.0,0.5
1645311007,44.0,1.7
1645311308,45.0,0.8
1645311607,44.0,1.8
1645311907,44.0,0.3
1645312207,44.0,0.5
1645312507,44.0,1
1645312807,44.0,0.5
1645313107,45.0,0.3
1645313407,45.0,0.8
1645313707,44.0,0.7
1645314008,44.0,0.5
1645314307,44.0,0.7
1645314607,45.0,3.3
1645314907,44.0,2.5
1645315208,44.0,2.5
1645315507,49.0,0.7
1645315807,44.0,18.2
1645316107,44.0,0.8
1645316408,44.0,1.3
1645316707,45.0,0.8
1645317007,45.0,1.5
1645317307,44.0,0.7
1645317608,44.0,1
1645317907,44.0,0.5
1645318207,45.0,0.8
1645318507,44.0,18.1
1645318807,44.0,1.7
1645319108,45.0,1.7
1645319407,44.0,1
1645319707,45.0,1.3
1645320007,45.0,0.2
1645320308,44.0,0.8
1645320607,44.0,0.7
1645320907,45.0,0.7
1645321207,44.0,40.2
1645321508,44.0,0.8
1645321807,44.0,0.8
1645322107,44.0,0.7
1645322407,44.0,0.8
1645322708,44.0,3.6
1645323007,44.0,0.5
1645323307,45.0,0.7
1645323607,45.0,0.7
1645323908,44.0,31.8
1645324207,44.0,0.5
1645324507,44.0,1.8
1645324807,44.0,0.5
1645325107,44.0,0.8
1645325408,44.0,0.8
1645325707,44.0,0.8
1645326007,44.0,0.8
1645326307,44.0,0.8
1645326608,45.0,74.3
1645326907,45.0,49.9
1645327207,45.0,48.6
1645327508,46.0,77.9
1645327807,46.0,50.2
1645328107,45.0,53.7
1645328407,45.0,66.2
1645328708,46.0,41.7
1645329007,45.0,40.7
1645329307,45.0,48.2
1645329607,46.0,27.2
1645329907,45.0,34
1645330208,45.0,50.2
1645330507,45.0,29.2
1645330807,45.0,50.2
1645331107,45.0,50.5
1645331408,46.0,32.2
1645331707,45.0,50.2
1645332007,45.0,50.4
1645332307,45.0,49.8
1645332608,45.0,28.7
1645332907,45.0,50
1645333207,45.0,52.3
1645333507,46.0,40.9
1645333808,45.0,52
1645334107,45.0,29.5
1645334407,50.0,36.4
1645334708,47.0,51.1
1645335007,45.0,38.2
1645335307,49.0,39
1645335608,46.0,50.1
1645335907,46.0,50.3
1645336207,49.0,52.4
1645336507,45.0,50.7
1645336808,46.0,29.2
1645337107,46.0,69.7
1645337408,46.0,45.8
1645337707,46.0,50
1645338007,44.0,70.5
1645338308,45.0,51.3
1645338607,46.0,50
1645338907,45.0,78.9
1645339208,45.0,51.9
1645339507,46.0,45.8
1645339807,47.0,51.6
1645340107,45.0,50.3
1645340408,46.0,50.1
1645340707,46.0,37.4
1645341007,46.0,39.6
1645341308,46.0,47.2
1645341607,46.0,38.9
1645341907,46.0,29.2
1645342208,46.0,32
1645342507,46.0,49.8
1645342807,46.0,28.2
1645343108,48.0,39.4
1645343407,45.0,50.7
1645343707,46.0,40.1
1645344008,45.0,83.7
1645344307,45.0,29
1645344607,46.0,48.7
1645344907,44.0,2.1
1645345208,46.0,1.5
1645345507,45.0,18.4
1645345807,45.0,1.3
1645346107,44.0,0.7
1645346408,45.0,0.5
1645346707,45.0,0.3
1645347007,45.0,1.7
1645347307,45.0,0.8
1645347607,45.0,0.3
1645347908,45.0,0.8
1645348207,44.0,32
1645348507,44.0,0.3
1645348807,45.0,1.7
1645349108,45.0,1
1645349407,45.0,0.2
1645349707,45.0,0.5
1645350007,45.0,0.3
1645350308,44.0,0.5
1645350607,45.0,0.7
1645350907,44.0,38.3
1645351207,45.0,1.2
1645351508,45.0,1
1645351807,44.0,0.3
1645352107,45.0,1
1645352407,44.0,0.8
1645352707,44.0,1
1645353008,44.0,0.3
1645353307,45.0,0.7
1645353607,45.0,47.7
1645353907,44.0,0.7
1645354208,44.0,0.5
1645354507,44.0,0.8
1645354807,44.0,0.7
1645355107,44.0,1
1645355408,44.0,0.8
1645355707,44.0,1
1645356007,45.0,0.2
1645356307,44.0,39.8
1645356608,45.0,0.5
1645356907,45.0,0.3
1645357207,45.0,1.5
1645357507,44.0,1.3
1645357808,45.0,1
1645358107,45.0,1
1645358407,55.0,0.5
1645358707,45.0,0.7
1645359007,45.0,43.2
1645359308,45.0,0.5
1645359607,45.0,0.8
1645359907,45.0,0.8
1645360207,46.0,1
1645360508,45.0,1
1645360807,45.0,0.7
1645361107,45.0,1
1645361407,45.0,0.7
1645361708,45.0,30.4
1645362007,45.0,0.8
1645362307,44.0,1.2
1645362607,45.0,0.7
1645362908,44.0,1.2
1645363207,45.0,1.2
1645363507,45.0,1
1645363807,45.0,0.3
1645364108,45.0,1
1645364407,45.0,41.2
1645364707,45.0,1
1645365007,45.0,0.8
1645365307,45.0,0.5
1645365608,44.0,0.3
1645365907,44.0,0.7
1645366207,44.0,0.8
1645366507,45.0,0.7
1645366808,45.0,0.8
1645367107,45.0,39
1645367407,45.0,0.8
1645367707,45.0,2.3
1645368008,45.0,0.8
1645368307,44.0,3.8
1645368607,45.0,0.5
1645368907,45.0,0.8
1645369208,45.0,0.5
1645369507,45.0,1
1645369807,44.0,27.8
1645370107,45.0,1.2
1645370407,45.0,0.5
1645370708,45.0,0.8
1645371007,45.0,0.5
1645371307,44.0,4.3
1645371607,45.0,3.8
1645371908,44.0,3.8
1645372207,44.0,0.8
1645372507,44.0,1.3
1645372807,44.0,1.2
1645373108,45.0,3.2
1645373407,45.0,1
1645373707,45.0,0.3
1645374007,45.0,0.5
1645374308,45.0,0.8
1645374607,44.0,0.5
1645374907,45.0,1.2
1645375207,44.0,20.2
1645375508,45.0,2.1
1645375807,44.0,2.6
1645376107,45.0,1.2
1645376407,44.0,0.5
1645376707,45.0,0.8
1645377008,44.0,1
1645377307,44.0,0.8
1645377607,45.0,0.8
1645377907,45.0,0.7
1645378208,45.0,1.2
1645378507,44.0,0.7
1645378807,45.0,0.8
1645379107,45.0,1.8
1645379408,44.0,2.8
1645379707,44.0,0.8
1645380007,44.0,0.8
1645380307,45.0,0.7
1645380608,48.0,0.5
1645380907,45.0,2.1
1645381207,45.0,0.5
1645381507,45.0,1
1645381807,44.0,0.8
1645382108,44.0,0.5
1645382407,45.0,0.3
1645382707,45.0,0.8
1645383007,45.0,0.5
1645383308,49.0,0.5
1645383607,45.0,0.7
1645383907,45.0,0.7
1645384207,44.0,0.8
1645384508,45.0,0.5
1645384807,45.0,0.3
1645385107,44.0,2.5
1645385407,44.0,2.2
1645385708,45.0,2.3
1645386007,45.0,0.3
1645386307,44.0,15.4
1645386607,44.0,0.7
1645386908,44.0,0.8
1645387207,45.0,0.5
1645387507,44.0,0.3
1645387807,44.0,0.3
1645388107,44.0,0.7
1645388408,44.0,0.5
1645388707,47.0,0.3
1645389007,44.0,30.9
1645389307,44.0,2
1645389608,44.0,0.5
1645389907,44.0,2
1645390207,44.0,0.7
1645390507,44.0,0.8
1645390808,44.0,0.5
1645391107,44.0,0.7
1645391407,44.0,0.7
1645391707,44.0,38
1645392008,44.0,0.3
1645392307,44.0,1.8
1645392607,44.0,0.8
1645392907,45.0,0.7
